ITEM CODE,ITEM DESCRIPTION,MODEL,DATE,ACTUAL,FORECAST
96970,HEINEKEN 2/12 NR - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Naive Seasonal,2026-06-01,4696.75,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Naive Seasonal,2026-07-01,4323.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Holt-Winters,2026-03-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Holt-Winters,2026-06-01,4696.75,0.0
96970,HEINEKEN 2/12 NR - 12OZ,Holt-Winters,2026-07-01,4323.0,1006.3277972126186
96970,HEINEKEN 2/12 NR - 12OZ,SARIMA,2026-02-01,0.0,217.10100119294628
96970,HEINEKEN 2/12 NR - 12OZ,SARIMA,2026-03-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,SARIMA,2026-04-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,SARIMA,2026-05-01,0.0,0.0
96970,HEINEKEN 2/12 NR - 12OZ,SARIMA,2026-06-01,4696.75,413.78006701265065
96970,HEINEKEN 2/12 NR - 12OZ,SARIMA,2026-07-01,4323.0,808.8591184865888
90590,MILLER LITE 30PK CAN - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Naive Seasonal,2026-06-01,5124.87,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Naive Seasonal,2026-07-01,4446.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Holt-Winters,2026-03-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Holt-Winters,2026-06-01,5124.87,0.0
90590,MILLER LITE 30PK CAN - 12OZ,Holt-Winters,2026-07-01,4446.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,SARIMA,2026-02-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,SARIMA,2026-03-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,SARIMA,2026-04-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,SARIMA,2026-05-01,0.0,0.0
90590,MILLER LITE 30PK CAN - 12OZ,SARIMA,2026-06-01,5124.87,0.0
90590,MILLER LITE 30PK CAN - 12OZ,SARIMA,2026-07-01,4446.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Naive Seasonal,2026-06-01,4295.97,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Naive Seasonal,2026-07-01,3998.93,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Holt-Winters,2026-03-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Holt-Winters,2026-06-01,4295.97,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,Holt-Winters,2026-07-01,3998.93,181.78997908789165
96741,CORONA EXTRA 4/6 NR - 12OZ,SARIMA,2026-02-01,0.0,14.766445257787206
96741,CORONA EXTRA 4/6 NR - 12OZ,SARIMA,2026-03-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,SARIMA,2026-04-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,SARIMA,2026-05-01,0.0,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,SARIMA,2026-06-01,4295.97,0.0
96741,CORONA EXTRA 4/6 NR - 12OZ,SARIMA,2026-07-01,3998.93,355.25644929443945
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Naive Seasonal,2026-06-01,8115.92,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Naive Seasonal,2026-07-01,7859.88,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Holt-Winters,2026-03-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Holt-Winters,2026-06-01,8115.92,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Holt-Winters,2026-07-01,7859.88,684.2819876355181
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,SARIMA,2026-02-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,SARIMA,2026-03-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,SARIMA,2026-04-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,SARIMA,2026-05-01,0.0,0.0
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,SARIMA,2026-06-01,8115.92,18.649516884019476
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,SARIMA,2026-07-01,7859.88,573.9293515737097
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Naive Seasonal,2026-06-01,10747.46,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Naive Seasonal,2026-07-01,9217.42,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
